car_model,price,year_model,kms,color,fueltype
Renault Logan Expression,37900000,2019,64,Gris,Gasolina
Renault Logan EXPRESSION 1.6,21990000,2011,117,Rojo,Gasolina
Renault Logan Expression 1.6 Mecanico,36800000,2018,58.5,Plateado,Gasolina
"Renault Logan Expression Mec 1,6",35800000,2016,70.184,Gris,Gasolina
Renault Logan Expression Mecanico,34500000,2018,93.5,Plateado,Gasolina
"Renault Logan EXPRESSION PH2 AT 1,6",54900000,2023,28.1,Gris,Gasolina
Renault Logan FAMILIAR 1.4,24900000,2013,63.449,Gris,Gasolina
Renault Logan FAMILIER,25900000,2013,1,Negro,Gasolina
Renault Logan Familier  1400cc Mt,25500000,2015,129,Rojo,Gasolina
Renault Logan Familier  1400cc Mt,25000000,2012,134,Azul,Gasolina
Renault Logan Familier  1400cc Mt Aa,30000000,2014,156.45,Gris,Gasolina
Renault Logan Familier 2011,26800000,2011,135.092,Gris,Gasolina
Renault Logan Family 2016,26999999,2016,105,Gris,Gasolina
Renault Logan Fleet At,47500000,2022,25.7,Color not found,Gasolina
Renault Logan Intens,72900000,2024,38,Blanco,Gasolina
Renault Logan intens,40900000,2018,51.078,Rojo,Gasolina
Renault Logan Intens,43000000,2018,77.908,Gris,Gasolina
Renault Logan Intens,53900000,2023,23,Gris,Gasolina
Renault Logan Intens 1.6 Mt,56900000,2022,37.576,Gris,Gasolina
Renault Logan Intens 1.6 Mt Con Gas,52900000,2022,47.782,Gris,Gasolina y gas
Renault Logan Intens At 1.6 2023,58900000,2023,1.524,Gris,Gasolina
Renault Logan Intens Cc1600 Automatico 114hp,59900000,2023,19.699,Blanco,Gasolina
Renault Logan Intens Mt,64900000,2024,25,Blanco,Gasolina
Renault Logan LIFE,61000000,2023,0,Blanco,Gasolina
Renault Logan Life,47900000,2022,39.765,Negro,Gasolina
Renault Logan LIFE,42000000,2020,27.34,Gris,Gasolina
Renault Logan Life ,49990000,2023,15,Plateado,Gasolina
Renault Logan Life +,41000000,2020,45,Gris,Gasolina
Renault Logan Life +,62896200,2024,0,Gris,Gasolina
Renault Logan Life +,39500000,2019,48,Rojo,Gasolina
Renault Logan Life +,37000000,2017,23,Gris,Gasolina
Renault Logan Life +,49000000,2022,19.7,Gris,Gasolina
Renault Logan Life +,52000000,2023,31.432,Dorado,Gasolina
Renault Logan LIFE + MT 1.6,36500000,2019,38,Blanco,Gasolina
Renault Logan Life + Mt1.6cc 16v 2024,56900000,2024,37.7,Gris,Gasolina
Renault Logan LIFE 1.6,47300000,2023,34.242,Blanco,Gasolina
Renault Logan LIFE 1.6,46300000,2022,41.261,Dorado,Gasolina
Renault Logan LIFE 1.6,47800000,2022,22.949,Gris,Gasolina
Renault Logan Life 1.6,45000000,2022,22,Dorado,Gasolina
Renault Logan LIFE 1.6,44000000,2021,42.784,Blanco,Gasolina
Renault Logan LIFE 1.6,48700000,2023,28.448,Blanco,Gasolina
Renault Logan Life 1.6 2023 Mq,57296142,2023,0,Blanco,Gasolina
Renault Logan Life 1.6 Mecanico Sedan,49500000,2023,32.2,Blanco,Gasolina
Renault Logan Life 1.6 Mecanico Sedan,48500000,2023,26.8,Gris,Gasolina
Renault Logan Life 1.6 Mecanico Sedan,49500000,2023,17,Gris,Gasolina
Renault Logan Life 1.6 Mecanico Sedan,49500000,2023,18,Gris,Gasolina
Renault Logan Life 1.6 Mecanico Sedan,49500000,2023,17.5,Gris,Gasolina
Renault Logan Life 2022 Gris Estrella Kzp232,39900000,2022,52,Plateado,Gasolina
Renault Logan Life Automático,47900000,2023,10,Plateado,Gasolina
Renault Logan Life Mecanico  2023,46800000,2023,33,Blanco,Gasolina
"Renault Logan Life Mt 1,6",46900000,2023,17.98,Dorado,Gasolina
Renault Logan Life Mt 1.6cc 16v 2020,40900000,2020,45.6,Plateado,Gasolina
Renault Logan LIFE MT 1.6CC 8V,39900000,2023,25,Gris,Gasolina
Renault Logan Life Ph2 ,43500000,2021,47.5,Color not found,Gasolina
Renault Logan Life Plus 1.6 Mecanico 2023,44900000,2023,42,Plateado,Gasolina
Renault Logan Life Plus 2024 Ds,63490000,2023,0,Gris,Gasolina
Renault Logan Life Plus- 2025-remate Excelente Precio!!!,62690000,2023,0,Gris,Gasolina
Renault Logan LIFE PLUS EXPRESSION 1.6 MT,40400000,2020,29,Gris,Gasolina
Renault Logan Life Polar 2019,36000000,2019,50.5,Blanco,Gasolina
Renault Logan Life+,32399999,2017,75,Gris,Gasolina
Renault Logan Life+ 2024,60890000,2023,0,Blanco,Gasolina
Renault Logan Life+ Mt 1.6 16v A/a Gpy596,47990000,2020,61.054,Rojo,Gasolina
Renault Logan Life+ Smart,40500000,2019,44.5,Color not found,Gasolina
Renault Logan Logan 1.6l,27000000,2008,28.5,Color not found,Gasolina
Renault Logan Mod 2022 At,50000000,2022,65.543,Gris,Gasolina
Renault Logan Mod 2022 At,50000000,2022,60.305,Gris,Gasolina
Renault Logan Mod 2022 At,49000000,2022,55,Gris,Gasolina
Renault Logan Modelo 2022,55000000,2022,72,Gris,Gasolina
Renault Logan Mt 1.6 2023,44900000,2023,10,Plateado,Gasolina
Renault Logan Mt 1.6 2023,46900000,2023,32,Blanco,Gasolina
Renault Logan Mt 2018,35900000,2018,62,Blanco,Gasolina
Renault Logan Mt 2020,38900000,2020,71,Plateado,Gasolina
Renault Logan Mt 2023,44900000,2023,16,Plateado,Gasolina
Renault Logan Mt 2023,44900000,2023,15,Gris,Gasolina
Renault Logan Mt 2023,44900000,2023,20,Gris,Gasolina
Renault Logan Polar,38000000,2020,128.291,Color not found,Gasolina
Renault Logan Polar 1.6,41500000,2020,64,Gris,Gasolina
Renault Logan Polar 2020,39000000,2020,7.5,Rojo,Gasolina
Renault Logan Privilege,37500000,2018,52,Plateado,Gasolina
Renault Logan Privilege 1.6cc AT AA 4X2,37600000,2017,79,Gris,Gasolina
Renault Logan Privilege/intense,57800000,2022,32,Gris,Gasolina
Renault Logan Sedan,24000000,2007,280.357,Color not found,Gasolina
Renault Logan Zen,53900000,2022,27.69,Rojo,Gasolina
Renault Logan Zen,54900000,2022,32.084,Gris,Gasolina
Renault Logan Zen,55800000,2022,11,Plateado,Gasolina
Renault Logan Zen 1.6 Mt 16v Jym092,50900000,2022,26.892,Gris,Gasolina
Renault Logan Zen 2023,56000000,2023,18,Gris,Gasolina
Renault Logan Zen 2024 - Remate Excelente Precio!!,64790000,2023,0,Gris,Gasolina
Renault Logan Zen Modelo 2021,52900000,2021,29.6,Gris,Gasolina
Renault Logan Zen Mt 1.600cc Gzx257,52990000,2021,42.828,Rojo,Gasolina
Renault Logan Zen Mt 1.6cc 16v 2020,37900000,2020,96.8,Rojo,Gasolina
Renault Loganprivilegeautomatique 46622,37900000,2018,85.182,Gris,Gasolina
Renault New Logan,45900000,2020,55.976,Gris,Gasolina
Renault New Logan Exclusive 1.6 Aut 2019 Eny691,47200000,2019,79.052,Gris,Gasolina
Taxi Intermunicipal Renault Logan Dynamique 2014,40000000,2014,924.8,Blanco,Gasolina
